docname,topic,proportion
gpt.txt:6,000,0.427757
gpt.txt:6,001,0.31632
gpt.txt:6,002,0.255924
gpt.txt:41,016,1.0
gpt.txt:76,003,1.0
gpt.txt:111,010,1.0
gpt.txt:146,000,0.427757
gpt.txt:146,001,0.31632
gpt.txt:146,002,0.255924
gpt.txt:181,014,1.0
gpt.txt:216,006,1.0
gpt.txt:251,002,1.0
gpt.txt:286,007,1.0
gpt.txt:321,000,0.427757
gpt.txt:321,001,0.31632
gpt.txt:321,002,0.255924
gpt.txt:377,000,0.427757
gpt.txt:377,001,0.31632
gpt.txt:377,002,0.255924
gpt.txt:412,000,0.427757
gpt.txt:412,001,0.31632
gpt.txt:412,002,0.255924
gpt.txt:447,000,0.427757
gpt.txt:447,001,0.31632
gpt.txt:447,002,0.255924
gpt.txt:482,008,1.0
gpt.txt:517,005,1.0
gpt.txt:552,000,0.427757
gpt.txt:552,001,0.31632
gpt.txt:552,002,0.255924
gpt.txt:587,000,0.427757
gpt.txt:587,001,0.31632
gpt.txt:587,002,0.255924
gpt.txt:622,000,1.0
gpt.txt:657,001,1.0
gpt.txt:692,008,1.0
gpt.txt:26,003,1.0
gpt.txt:61,000,0.427757
gpt.txt:61,001,0.31632
gpt.txt:61,002,0.255924
gpt.txt:96,010,1.0
gpt.txt:131,000,0.427757
gpt.txt:131,001,0.31632
gpt.txt:131,002,0.255924
gpt.txt:166,000,0.427757
gpt.txt:166,001,0.31632
gpt.txt:166,002,0.255924
gpt.txt:201,000,0.427757
gpt.txt:201,001,0.31632
gpt.txt:201,002,0.255924
gpt.txt:236,000,0.427757
gpt.txt:236,001,0.31632
gpt.txt:236,002,0.255924
gpt.txt:271,000,0.427757
gpt.txt:271,001,0.31632
gpt.txt:271,002,0.255924
gpt.txt:306,000,0.427757
gpt.txt:306,001,0.31632
gpt.txt:306,002,0.255924
gpt.txt:341,000,0.427757
gpt.txt:341,001,0.31632
gpt.txt:341,002,0.255924
gpt.txt:362,001,1.0
gpt.txt:397,004,1.0
gpt.txt:432,000,0.427757
gpt.txt:432,001,0.31632
gpt.txt:432,002,0.255924
gpt.txt:467,000,0.427757
gpt.txt:467,001,0.31632
gpt.txt:467,002,0.255924
gpt.txt:502,017,1.0
gpt.txt:537,000,0.427757
gpt.txt:537,001,0.31632
gpt.txt:537,002,0.255924
gpt.txt:572,000,1.0
gpt.txt:607,014,1.0
gpt.txt:642,009,1.0
gpt.txt:677,000,0.427757
gpt.txt:677,001,0.31632
gpt.txt:677,002,0.255924
gpt.txt:18,000,0.427757
gpt.txt:18,001,0.31632
gpt.txt:18,002,0.255924
gpt.txt:53,000,0.427757
gpt.txt:53,001,0.31632
gpt.txt:53,002,0.255924
gpt.txt:88,002,1.0
gpt.txt:123,006,1.0
gpt.txt:158,016,1.0
gpt.txt:193,000,0.427757
gpt.txt:193,001,0.31632
gpt.txt:193,002,0.255924
gpt.txt:228,000,1.0
gpt.txt:263,000,0.427757
gpt.txt:263,001,0.31632
gpt.txt:263,002,0.255924
gpt.txt:298,003,1.0
gpt.txt:333,000,0.427757
gpt.txt:333,001,0.31632
gpt.txt:333,002,0.255924
gpt.txt:389,003,1.0
gpt.txt:424,012,1.0
gpt.txt:459,006,1.0
gpt.txt:494,000,0.427757
gpt.txt:494,001,0.31632
gpt.txt:494,002,0.255924
gpt.txt:529,011,1.0
gpt.txt:564,000,0.427757
gpt.txt:564,001,0.31632
gpt.txt:564,002,0.255924
gpt.txt:599,024,1.0
gpt.txt:634,009,1.0
gpt.txt:669,000,0.427757
gpt.txt:669,001,0.31632
gpt.txt:669,002,0.255924
gpt.txt:7,000,0.427757
gpt.txt:7,001,0.31632
gpt.txt:7,002,0.255924
gpt.txt:42,016,1.0
gpt.txt:77,003,1.0
gpt.txt:112,000,0.427757
gpt.txt:112,001,0.31632
gpt.txt:112,002,0.255924
gpt.txt:147,012,1.0
gpt.txt:182,014,1.0
gpt.txt:217,006,1.0
gpt.txt:252,002,1.0
gpt.txt:287,012,1.0
gpt.txt:322,008,1.0
gpt.txt:378,016,1.0
gpt.txt:413,000,0.427757
gpt.txt:413,001,0.31632
gpt.txt:413,002,0.255924
gpt.txt:448,002,1.0
gpt.txt:483,008,1.0
gpt.txt:518,000,0.427757
gpt.txt:518,001,0.31632
gpt.txt:518,002,0.255924
gpt.txt:553,000,0.427757
gpt.txt:553,001,0.31632
gpt.txt:553,002,0.255924
gpt.txt:588,002,1.0
gpt.txt:623,000,0.427757
gpt.txt:623,001,0.31632
gpt.txt:623,002,0.255924
gpt.txt:658,016,1.0
gpt.txt:693,016,1.0
gpt.txt:19,000,0.427757
gpt.txt:19,001,0.31632
gpt.txt:19,002,0.255924
gpt.txt:54,010,1.0
gpt.txt:89,016,1.0
gpt.txt:124,006,1.0
gpt.txt:159,009,1.0
gpt.txt:194,000,0.427757
gpt.txt:194,001,0.31632
gpt.txt:194,002,0.255924
gpt.txt:229,000,1.0
gpt.txt:264,000,0.427757
gpt.txt:264,001,0.31632
gpt.txt:264,002,0.255924
gpt.txt:299,003,1.0
gpt.txt:334,014,1.0
gpt.txt:390,000,0.427757
gpt.txt:390,001,0.31632
gpt.txt:390,002,0.255924
gpt.txt:425,000,0.427757
gpt.txt:425,001,0.31632
gpt.txt:425,002,0.255924
gpt.txt:460,002,1.0
gpt.txt:495,000,0.427757
gpt.txt:495,001,0.31632
gpt.txt:495,002,0.255924
gpt.txt:530,011,1.0
gpt.txt:565,000,0.427757
gpt.txt:565,001,0.31632
gpt.txt:565,002,0.255924
gpt.txt:600,000,1.0
gpt.txt:635,009,1.0
gpt.txt:670,000,0.427757
gpt.txt:670,001,0.31632
gpt.txt:670,002,0.255924
gpt.txt:2,000,0.427757
gpt.txt:2,001,0.31632
gpt.txt:2,002,0.255924
gpt.txt:37,000,1.0
gpt.txt:72,018,1.0
gpt.txt:107,001,1.0
gpt.txt:142,000,0.427757
gpt.txt:142,001,0.31632
gpt.txt:142,002,0.255924
gpt.txt:177,000,1.0
gpt.txt:212,001,1.0
gpt.txt:247,000,0.427757
gpt.txt:247,001,0.31632
gpt.txt:247,002,0.255924
gpt.txt:282,000,0.427757
gpt.txt:282,001,0.31632
gpt.txt:282,002,0.255924
gpt.txt:317,006,1.0
gpt.txt:352,003,1.0
gpt.txt:373,001,1.0
gpt.txt:408,000,0.427757
gpt.txt:408,001,0.31632
gpt.txt:408,002,0.255924
gpt.txt:443,020,1.0
gpt.txt:478,012,1.0
gpt.txt:513,000,0.427757
gpt.txt:513,001,0.31632
gpt.txt:513,002,0.255924
gpt.txt:548,008,1.0
gpt.txt:583,020,1.0
gpt.txt:618,000,0.427757
gpt.txt:618,001,0.31632
gpt.txt:618,002,0.255924
gpt.txt:653,019,1.0
gpt.txt:688,001,1.0
gpt.txt:5,001,1.0
gpt.txt:40,015,1.0
gpt.txt:75,016,1.0
gpt.txt:110,013,1.0
gpt.txt:145,000,0.427757
gpt.txt:145,001,0.31632
gpt.txt:145,002,0.255924
gpt.txt:180,014,1.0
gpt.txt:215,006,1.0
gpt.txt:250,011,1.0
gpt.txt:285,016,1.0
gpt.txt:320,024,1.0
gpt.txt:355,010,1.0
gpt.txt:376,000,0.427757
gpt.txt:376,001,0.31632
gpt.txt:376,002,0.255924
gpt.txt:411,000,0.427757
gpt.txt:411,001,0.31632
gpt.txt:411,002,0.255924
gpt.txt:446,000,0.427757
gpt.txt:446,001,0.31632
gpt.txt:446,002,0.255924
gpt.txt:481,000,0.427757
gpt.txt:481,001,0.31632
gpt.txt:481,002,0.255924
gpt.txt:516,000,0.427757
gpt.txt:516,001,0.31632
gpt.txt:516,002,0.255924
gpt.txt:551,000,0.427757
gpt.txt:551,001,0.31632
gpt.txt:551,002,0.255924
gpt.txt:586,000,1.0
gpt.txt:621,007,1.0
